Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
ClearTax,,"New Delhi, Delhi, India","Accounting, Apps, FinTech",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,,,Series B,25.25571410531633,2018,New Delhi,Finance & FinTech,Series B
Shuttl,,"Gurgaon, Haryana, India","Apps, Mobile, Transportation","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",,,Debt Financing,1.0,2018,Gurgaon,Technology & Software,Other
GuruQ,,"New Delhi, Delhi, India",Reading Apps,A one of its kind digital integrated platform connecting tutors and students.,,,Seed,0.15784821315822706,2018,New Delhi,Other,Seed
Azure Power,,"New Delhi, Delhi, India","Energy, Renewable Energy, Solar","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",,,Post-IPO Equity,185.0,2018,New Delhi,Energy,Other
Cube,,"Mumbai, Maharashtra, India","Banking, Financial Services, FinTech",Cube is consumer banking focused fintech company.,,,Series A,0.8839499936860715,2018,Mumbai,Finance & FinTech,Series A
LetsMD,,"New Delhi, Delhi, India","Fitness, Health Care, Wellness",LetsMD.com is a marketplace for elective surgeries,,,Seed,1.0,2018,New Delhi,Technology & Software,Seed
Twenty Two Motors,,"Haryana, Haryana, India","Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,,,Corporate Round,65.0,2018,Haryana,Energy,Other
Truebil,,"Mumbai, Maharashtra, India","Automotive, E-Commerce, Marketplace","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",,,Series A,2.0,2018,Mumbai,E-commerce & Retail,Series A
Worxogo,,"Bangalore, Karnataka, India",Information Technology,worxogo’s is a pioneering persuasive technology products align employee behaviours .,,,Series A,1.0417982068442986,2018,Bangalore,Technology & Software,Series A
Vivish Technologies (myGate),,"Bengaluru, Karnataka, India","Apps, Information Services, Information Technology",India's leading mobile based security management solution .,,,Series A,4.1040535421139035,2018,Bengaluru,Technology & Software,Series A
