Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
Hypto,2018.0,Chennai,Tech startup,The next generation of web services that democratize access to finance for developers and businesses.,"Abhishek Rajagopal, Aravind Sriraman, Tholkappiyan Velavan",Stellaris Venture Partners,Seed,3.0,2021,Chennai,Other,Seed
CHUPPS,2016.0,Mumbai,Foootwear,D2C footwear brand,"Gaurav Agarwal, Yash Mukhi",Venture Catalysts,Pre-series A,1.1,2021,Mumbai,Other,Series A
Zenduty,2019.0,Bangalore,Computer Software,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams","Ankur Rawal, Vishwa Krishnakumar",StartupXseed Ventures,Pre-series A,1.9,2021,Bangalore,Other,Series A
R for Rabbit,2014.0,Ahmedabad,Consumer Goods,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,Kunal Popat,Xponentia Capital Partners,,5.0,2021,Ahmedabad,Other,Other
Acko,2016.0,Bangalore,Insurance,ACKO is India’s first and fastest growing InsurTech company which makes buying and using insurance effortless.,"Varun Dua, Ruchi Deepak","General Atlantic, Multiples",Series D,255.0,2021,Bangalore,Other,Series D
LoveLocal,2015.0,Mumbai,Retail,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,Akanksha Hazari,Vulcan Capital,Pre-series B,18.0,2021,Mumbai,E-commerce & Retail,Series B
SupplyNote,2015.0,Noida,Food & Beverages,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.","Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,Pre-series A,1.2,2021,Noida,E-commerce & Retail,Series A
Vakilsearch,2010.0,Chennai,Legal Services,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",Hrishikesh Datar,InCorp India,,10.0,2021,Chennai,Other,Other
Cloudphysician,2017.0,Bangalore,Hospital & Health Care,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,"Dr Dhruv Joshi, Dr Dileep Raman",Elevar Equity,Pre-series A,4.0,2021,Bangalore,Technology & Software,Series A
Wiggles.in,2018.0,Pune,Veterinary,Wiggles India is a preventative healthcare brand for all things pets!,Anushka Iyer,Anthill Ventures,Pre-series A,5.5,2021,Pune,Other,Series A
Avanti Finance,2017.0,Bangalore,Financial Services,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,"Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",Series A2,15.0,2021,Bangalore,Other,Series A
Vanity Wagon,2018.0,New Delhi,Consumer Goods,Vanity Wagon is India's first true information oriented clean beauty marketplace.,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,Pre-series A,0.7,2021,New Delhi,Other,Series A
Purplle,2012.0,Mumbai,E-commerce,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,"Rahul Dash, Manish Taneja",Kedaara,,70.0,2021,Mumbai,E-commerce & Retail,Other
MFine,2017.0,Bangalore,Hospital & Health Care,"MFine aims to make access to trusted healthcare simple, fast, and effective.","Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",Series C,48.0,2021,Bangalore,Technology & Software,Series C
Mentza,2020.0,Mumbai,E-learning,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform","Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,Seed,0.4,2021,Mumbai,Education,Seed
ConnectedH,2018.0,Gurugram,Hospital & Health Care,Connect different sectors of healthcare system and give the patients complete control over their information.,"Shubham Gupta, Rahul Kumar, Suresh Singh","Kalaari Capital, Incubate Fund India",Seed,2.3,2021,Gurugram,Technology & Software,Seed
CredAvenue,2017.0,Chennai,FinTech,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",Series A,90.0,2021,Chennai,Finance & FinTech,Series A
Vedantu,2011.0,Bangalore,E-learning,Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, Anand Prakash",ABC World Asia,Series E,100.0,2021,Bangalore,Education,Series E
Exotel,2011.0,Bangalore,Telecommunications,"Asia's largest customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.","Shivakumar Ganesan, Ishwar Sridharan, Siddharth Ramesh, Vijay Sharma","IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund",Series C,35.0,2021,Bangalore,Other,Series C
Fantasy Akhada,2020.0,Gurugram,sports,Fantasy Akhada is one of India's fastest growing Fantasy Sports Platform.,"Amit Purohit, Sumit Kumar Jha",Prime Securities Limited,Series A,2.0,2021,Gurugram,Other,Series A
Meesho,2015.0,Bangalore,Social commerce,Meesho is India’s largest marketplace for longtail products.,"Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",,570.0,2021,Bangalore,E-commerce & Retail,Other
Cusmat,2016.0,Hyderabad,Computer Software,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,Pre-series A,0.1,2021,Hyderabad,Other,Series A
Homeville,2017.0,Mumbai,Information Technology & Services,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",,9e-06,2021,Mumbai,Technology & Software,Other
Coinshift,2021.0,Chandigarh,Blockchain,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal",Seed,2.5,2021,Chandigarh,Technology & Software,Seed
Strip Finance,2021.0,Hyderabad,Financial Services,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",Seed,0.4,2021,Hyderabad,Other,Seed
Ola Electric,2017.0,Bangalore,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Falcon Edge, Softbank",,200.0,2021,Bangalore,Other,Other
Kolo,2020.0,Bangalore,Construction,Home construction app for finding ideas and service providers near you,"Pranav Garg, Jery Althaf",Better Capital,Pre-seed,0.55,2021,Bangalore,Other,Seed
Chqbook,2017.0,Gurugram,FinTech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",Pre-series B,5.0,2021,Gurugram,Finance & FinTech,Series B
EV Plugs,2021.0,Gurugram,Information Technology & Services,EV charging station aggregator platform,"Manish Narang, Kapil Narang, Ashwani Arora",,,0.15,2021,Gurugram,Technology & Software,Other
Rulezero,2019.0,Bangalore,Financial Services,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.","Satish Mugulavalli, Srinivas Katta",The Treasury,Seed,2.5,2021,Bangalore,Other,Seed
CredRight,2016.0,Hyderabad,Financial Services,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",,9e-06,2021,Hyderabad,Other,Other
Karbon Card,2019.0,Bangalore,FinTech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",Pre-series A,12.0,2021,Bangalore,Finance & FinTech,Series A
Auntie Fung,2015.0,Bangalore,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,,0.4,2021,Bangalore,E-commerce & Retail,Other
ePayLater,2015.0,Mumbai,Financial Services,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",Series B,10.0,2021,Mumbai,Other,Series B
Fittr,2016.0,Pune,"Health, Wellness & Fitness","FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",Series A,11.0,2021,Pune,Technology & Software,Series A
Medikabazaar,2014.0,Mumbai,Healthtech,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",Series C,75.0,2021,Mumbai,Healthcare & HealthTech,Series C
Delhivery,2011.0,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",,125.0,2021,Gurugram,Technology & Software,Other
Akudo,2020.0,Bangalore,Financial Services,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",Seed,4.2,2021,Bangalore,Other,Seed
Sanctum Wealth,2016.0,Mumbai,Investment Management,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,Shiv Gupta,The Xander Group,,10.0,2021,Mumbai,Other,Other
88academics,2018.0,New Delhi,Education,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil Ahuja,Aarin Capital,Pre-series A,3.0,2021,New Delhi,Other,Series A
Sanfe,2018.0,New Delhi,"Health, Wellness & Fitness",India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",Series A,1.0,2021,New Delhi,Technology & Software,Series A
PredictiVu,2020.0,Gurugram,Management Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",,Kunal Sarkar,Pre-seed,1.5,2021,Gurugram,Other,Seed
Sterling Accuris Wellness,2016.0,Ahmedabad,Hospital & Health Care,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",Girish Patel,Morgan Stanley Private Equity Asia,,30.0,2021,Ahmedabad,Technology & Software,Other
Bijnis,2015.0,New Delhi,B2B startup,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,Series B,30.0,2021,New Delhi,E-commerce & Retail,Series B
Capital Float,2013.0,Bangalore,Financial Services,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,"Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,,50.0,2021,Bangalore,Other,Other
Manch Technologies,2017.0,Bangalore,Information Technology & Services,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Suresh Anantpurkar,Bharat Inclusion,Pre-series A,1.0,2021,Bangalore,Technology & Software,Series A
Glamyo Health,2019.0,New Delhi,Hospital & Health Care,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,Series A,3.0,2021,New Delhi,Technology & Software,Series A
CashBook,2020.0,Gurugram,FinTech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",Seed,2.3,2021,Gurugram,Finance & FinTech,Seed
The Money Club,2016.0,Noida,Financial Services,The Money Club is a mobile platform for peer to peer chit funds.,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",Pre-series A,1.7,2021,Noida,Other,Series A
SuperZop,2016.0,Mumbai,Retail,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,Series A,4.0,2021,Mumbai,E-commerce & Retail,Series A
Zypp Electric,2017.0,Gurugram,Logistics & Supply Chain,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures",Series A,9e-06,2021,Gurugram,Technology & Software,Series A
Alpha Coach,2021.0,Mumbai,Professional Training & Coaching,One to One Personal Fitness Coaching,Ketan Mavinkurve,Jani Ventures INC,,1.2,2021,Mumbai,Other,Other
VRO Hospitality,2018.0,Bangalore,Hospitality,One of the fastest-growing hospitality companies based out of Bangalore.,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,Series A,3.0,2021,Bangalore,Technology & Software,Series A
byteXL,2019.0,Hyderabad,E-learning,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.","Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,,0.2,2021,Hyderabad,Education,Other
Leena AI,2015.0,Gurugram,Computer Software,AI to help enterprises transform the employee experience.,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,Series B,30.0,2021,Gurugram,Other,Series B
CARS24,2015.0,Gurugram,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",Series F,2450.0,2021,Gurugram,Other,Series F
Klub,2019.0,Bangalore,Financial Services,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.","Anurakt Jain, Ishita Verma",Trifecta Capital,Debt,2.0,2021,Bangalore,Other,Other
Bluepad,2020.0,Bangalore,Online Media,A one-stop solution for aggregated content  in vernacular languages,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate",Pre-seed,0.2,2021,Bangalore,Healthcare & HealthTech,Seed
FloBiz,2019.0,Bangalore,Information Technology & Services,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,"Rahul Raj, Aditya Naik, Rakesh Yadav",Sequoia Capital India,Series B,31.0,2021,Bangalore,Technology & Software,Series B
Tummoc,2016.0,Bangalore,Mobility,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim",Seed,0.54,2021,Bangalore,Technology & Software,Seed
Design Cafe,2015.0,Bangalore,Design,Design Cafe is on a mission to democratize good design for homes in India.,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures",,25.0,2021,Bangalore,Other,Other
Aerchain,2019.0,Bangalore,Computer Software,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",Pre-series A,3.0,2021,Bangalore,Other,Series A
CuriousJr,2020.0,Gurugram,E-learning,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",Seed,1.0,2021,Gurugram,Education,Seed
Wow! Momo,2008.0,Kolkata,Food & Beverages,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,Series C,15.0,2021,Kolkata,E-commerce & Retail,Series C
Supertails,2021.0,Bangalore,Consumer Services,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,,0.7,2021,Bangalore,Other,Other
LifeCell,2004.0,Chennai,Biotechnology,A building block of the team that preserves the building blocks of life,S. Abhaya Kumar,Orbimed Asia Partners,,30.0,2021,Chennai,Technology & Software,Other
ZestMoney,2015.0,Bangalore,Financial Services,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.","Priya Sharma, Lizzie Chapman",Zip Co,Series C,50.0,2021,Bangalore,Other,Series C
FrontRow,2020.0,Bangalore,E-learning,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!","Shubhadit Sharma, Mikhil Raj, Ishaan Preet Singh","Eight Roads Ventures, GSV",Series A,14.0,2021,Bangalore,Education,Series A
HappyCredit,2020.0,Bangalore,FinTech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar",Pre-seed,0.6,2021,Bangalore,Finance & FinTech,Seed
Endimension,2018.0,Mumbai,Healtcare,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,Seed,0.3,2021,Mumbai,Healthcare & HealthTech,Seed
BeepKart,2020.0,Bangalore,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",Seed,3.0,2021,Bangalore,Other,Seed
Lio,2020.0,Pune,Computer Software,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa",Seed,5.0,2021,Pune,Other,Seed
TravClan,2018.0,New Delhi,B2B Travel,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun Bagaria, Ashish Thapliyal",TheVentures,Pre-series A,2.2,2021,New Delhi,E-commerce & Retail,Series A
WickedGud,2021.0,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",Pre-seed,0.34,2021,Mumbai,E-commerce & Retail,Seed
Enercomp,2013.0,Ahmedabad,Information Technology & Services,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,SURESH SHAHDADPURI,ah! Ventures,,0.2,2021,Ahmedabad,Technology & Software,Other
BetterPlace,2014.0,Bangalore,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.",Pravin Agarwala,"Jungle Ventures, CX Partners",Series C,24.0,2021,Bangalore,Technology & Software,Series C
Medpho,2021.0,Noida,Hospital & Health Care,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",,1.0,2021,Noida,Technology & Software,Other
LivQuik Technology,2012.0,Mumbai,Financial Services,LivQuik’s vision is to enable the efficient movement of money.,Mohit Lalvani,M2P Fintech,,2e-06,2021,Mumbai,Other,Other
GTM Buddy,2020.0,Hyderabad,Computer Software,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,Seed,2.0,2021,Hyderabad,Other,Seed
Gobbly,2019.0,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",Pre-series A,0.9,2021,Gurugram,E-commerce & Retail,Series A
HexaHealth,2019.0,Mumbai,Healthtech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",Seed,4.5,2021,Mumbai,Healthcare & HealthTech,Seed
Eupheus Learning,2017.0,New Delhi,E-learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,Series C,10.0,2021,New Delhi,Education,Series C
Easiloan,2020.0,Mumbai,FinTech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,,1.0,2021,Mumbai,Finance & FinTech,Other
Anar,2019.0,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",Seed,6.2,2021,Mumbai,Technology & Software,Seed
Shadez,2019.0,Mumbai,Consumer Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,Pre-series A,0.2,2021,Mumbai,Other,Series A
Vahan,2016.0,Bangalore,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,Series A,8.0,2021,Bangalore,Technology & Software,Series A
Tinkerly,2015.0,Jaipur,EdTech,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,,0.8,2021,Jaipur,Education,Other
Godamwale,2016.0,Mumbai,Logistics & Supply Chain,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000	#REF!,,1.0,2021,Mumbai,Technology & Software,Other
Artium Academy,2021.0,Mumbai,Music,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",Seed,0.75,2021,Mumbai,Other,Seed
Awon GameZ,2020.0,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,Seed,2.0,2021,Noida,Technology & Software,Seed
Ayu Health,2019.0,Bangalore,"Health, Wellness & Fitness",Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",Series A,6.3,2021,Bangalore,Technology & Software,Series A
Apna,2019.0,Bangalore,Recruitment,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,Series C,100.0,2021,Bangalore,Technology & Software,Series C
BharatAgri,2017.0,Bangalore,AgriTech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",Series A,6.5,2021,Bangalore,Technology & Software,Series A
Flatheads,2018.0,Bangalore,Apparel & Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels",Pre-series A,1.0,2021,Bangalore,E-commerce & Retail,Series A
Boutique Spirit Brands,2016.0,New Delhi,Wine & Spirits,Boutique Spirit Brands is a leading Brand creation & manufacturing company of Branded alcoholic beverages in India.,Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",,10.0,2021,New Delhi,Technology & Software,Other
eShipz,2019.0,Bangalore,SaaS startup,Digital Shipping Platform for Creating best Pre & Post Shipping Experiences to Brands and Enterprise Customers. and help grow their business by 5X with automation & cloud technology.,"Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",,0.7,2021,Bangalore,Other,Other
Pine Labs,1998.0,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,Invesco Developing Markets Fund,,100.0,2021,Noida,Technology & Software,Other
Paytail,2020.0,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,Seed,1.5,2021,New Delhi,Other,Seed
4Fin,2021.0,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,Pre-seed,1.1,2021,Pune,Other,Seed
immunitoAI,2020.0,Bangalore,Biotechnology,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,Seed,1.0,2021,Bangalore,Technology & Software,Seed
GameEon Studios,2013.0,Mumbai,Computer Games,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,Mumbai Angels Network,,0.32,2021,Mumbai,Other,Other
Farmers Fresh Zone,2015.0,Kochi,AgriTech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",Pre-series A,0.8,2021,Kochi,Technology & Software,Series A
Anveshan,2019.0,Bangalore,Food Production,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",Seed,0.5,2021,Bangalore,E-commerce & Retail,Seed
Coutloot,2016.0,Mumbai,Consumer Services,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",Pre-series,9e-06,2021,Mumbai,Other,Other
Nova Benefits,2020.0,Bangalore,"Health, Wellness & Fitness",Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",Series A,10.0,2021,Bangalore,Technology & Software,Series A
HomeLane,2014.0,Bangalore,Interior Design,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",Series E,50.0,2021,Bangalore,Other,Series E
Lido Learning,2019.0,Mumbai,E-learning,LIDO is an  ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,Sahil Sheth,Unilazer Ventures,,10.0,2021,Mumbai,Education,Other
Jar,2021.0,Bangalore,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",Pre-series A,4.5,2021,Bangalore,Finance & FinTech,Series A
Peppermint,2019.0,Pune,Industrial Automation,Intelligent Housekeeping Robots for public and working spaces,"Runal Dahiwade, Miraj C Vora","Venture Catalysts, Indian Angel Network",,0.6,2021,Pune,Other,Other
Codingal,2020.0,Bangalore,EdTech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,"Vivek Prakash, Satyam Baranwal",,Seed,1.2,2021,Bangalore,Education,Seed
Skit,2016.0,Bangalore,AI startup,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",Westbridge Capital,Series B,23.0,2021,Bangalore,Technology & Software,Series B
REVOS,2017.0,Bangalore,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT  solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,Series A,4.0,2021,Bangalore,Other,Series A
Dezerv.,2021.0,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",Seed,7.0,2021,Mumbai,Other,Seed
AppsForBharat,2020.0,Bangalore,Product studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Prashant Sachan,Elevation Capital,Series A,10.0,2021,Bangalore,Other,Series A
